id,year,keywords,_year,_authors,_inventory_number,_title
KMS1330,1880,"canvas,oil",1888,Axel Jungstedt,KMS1330,Stone Workers
KMS6574,1900,"canvas,oil,landscape art",1911,Edvard Weie,KMS6574,"Landscape, Christiansø"
KMS3597,1740,"canvas,oil,portrait",1741,Carl Gustaf Pilo,KMS3597,Portræt af Christian Jacobsen Drakenberg
KMS844,1820,"canvas,oil",1836,Christen Købke,KMS844,View of a Street in Østerbro outside Copenhagen. Morning Light
KMS3213,1640,"canvas,oil",1649,Bartholomeus van der Helst,KMS3213,Venus and Cupid
KMS1345,1820,"canvas,oil,architectural painting",1830,Christen Købke,KMS1345,The Transept of Århus Cathedral
KMSsp854,1760,"canvas,oil,portrait",1766,Vigilius Eriksen,KMSsp854,Katharina II af Rusland i kroningsdragt
KMS1019,1760,"canvas,oil",1778,Nicolai Abildgaard,KMS1019,Hamlet hos sin moder
KMS709,1640,"canvas,oil,portrait",1640,Karel van Mander III,KMS709,Christian IV
KMS7601,1880,"canvas,oil",1882,Carl Christian Andersen,KMS7601,One of the Rooms in the Royal Collection of Paintings at Christiansborg Palace
KMS495,1840,"canvas,oil,genre art",1845,Martinus Rørbye,KMS495,A party of chess players outside a Turkish coffeehouse and barbershop
KMS1072,1820,"canvas,oil",1837,Constantin Hansen,KMS1072,Vestatemplet med dets omgivelser
KMS1239,1880,"canvas,oil",1885,Otto Bache,KMS1239,Driving Cows out of the Cowhouse
KMS758,1840,"canvas,oil,genre art",1853,Julius Exner,KMS758,Visiting Grandfather
KMS1899,1680,"canvas,oil",1690,Franz Rösel von Rosenhof,KMS1899,The Earth after the Fall of Man
KMS3635,1800,"canvas,oil",1802,Jens Juel,KMS3635,A Running Boy. Marcus Holst von Schmidten
KMS1450,1880,"canvas,oil",1891,Johan Rohde,KMS1450,"A Summer's Day by the River Karup, Jutland"
KMSsp622,1700,"canvas,oil",1705,Dirk Valkenburg,KMSsp622,Game and Fruit
KMS1901,1660,"canvas,oil",1672,Cornelis Norbertus Gysbrechts,KMS1901,Trompe l'oeil of a Letter Rack with Proclamation by Frederik III
KMS3394,1820,"canvas,oil",1828,Christoffer Wilhelm Eckersberg,KMS3394,The Carnival in Rome. Fragment
KMS1093,1840,"canvas,oil,portrait",1846,Elisabeth Jerichau-Baumann,KMS1093,"The Sculptor Jens Adolf Jerichau, the Artist's Husband"
